Title	URL	Assignees	Status	Labels	$ Amount 	Milestone
LLM Development - April 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/20	stephen-rowan	Done	Development, Unpaid	100	April 2024
Suggesting tasks for Q2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/119	dukepeter	Done	Archive, Community engagement, Development	0	April 2024
Tool Development - April 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/123	Andre-Diamond	Done	Development, Unpaid	400	April 2024
Archives GitBook - April 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/125	VanCardui	Done	Archive, Unpaid	100	April 2024
Meeting 21 (Project Management) - Wednesday, 3rd April 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/128	stephen-rowan	Done	Meetings, Unpaid	200	April 2024
Meeting 22 (Project Management) -  Wednesday, 17th April, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/134	stephen-rowan	Done	Meetings, Unpaid	200	April 2024
Update and rename Sample-Decision.md to Quarterly report for Q1 2024.md	https://github.com/SingularityNET-Archive/SingularityNET-Archive/pull/136	stephen-rowan	Done	Decisions		April 2024
Update Quarterly report for Q1 2024.md	https://github.com/SingularityNET-Archive/SingularityNET-Archive/pull/137	stephen-rowan	Done	Decisions		April 2024
Tag taxonomy project: Part 2 of Planning and delivering training - Quarter 2 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/146	VanCardui	Done	Archive GitBook Backlog, Community engagement, Unpaid	125	April 2024
Doc-001-QADAO-Open-Source-AI-Workflow	https://github.com/SingularityNET-Archive/SingularityNET-Archive/pull/143	stephen-rowan	Done	Documents		April 2024
