Title	URL	Assignees	Status	Labels	$ Amount 	Milestone
Ambassadors GitBook	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/28	Andre-Diamond, VanCardui	Done	Ambassadors GitBook	200	December 2023
Publicising Archive WG meetings and tools	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/34	Andre-Diamond, miroslavrajh, stephen-rowan, VanCardui	Done	Community engagement	0	December 2023
Archival workflow design	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/12	VanCardui	Done	Archive	400	December 2023
Archive GitBook - December 2023	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/62	VanCardui	Done	Archive	500	December 2023
Archive GitBook Backlog part 1	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/36	stephen-rowan	Done	Archive GitBook Backlog	250	December 2023
Archive WG Budget - Quarter 4 2023	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/66	Andre-Diamond, stephen-rowan, VanCardui	In Progress	Archive	0	December 2023
Meeting 14 (Project Management) -  Wednesday, 29th November, 2023	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/74	stephen-rowan	Done	Meetings	200	December 2023
Quarterly report, Q4 2023	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/75	VanCardui	Done	Archive	50	December 2023
Tool Development - December 2023	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/76	Andre-Diamond	Done	Development	500	December 2023
Meeting templates Part 2: December 2023	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/94	Andre-Diamond, VanCardui	Done	Development	400	December 2023
