Title	URL	Assignees	Status	Labels	$ Amount 	Milestone
Quarterly report Q1 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/88	VanCardui	Done	Archive, Unpaid	50	March 2024
Governance GitBook part 1 - Quarter 1 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/23	VanCardui	In Progress	Governance GitBook, Unpaid	200	March 2024
Q1 2024 Correction and maintenance of monthly Archive records	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/72	VanCardui	In Progress	Archive, Unpaid	250	March 2024
Archive WG Budget - Quarter 1 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/73	stephen-rowan	In Progress	Archive, Unpaid		March 2024
Bounty for minor updates to Ambassador Gitbook, Q1 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/84	SucrenSpice	Done	Ambassadors GitBook, Paid	150	March 2024
Meeting Summary Tool tech support	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/86	michealkizzy	Done	Development, Paid	200	March 2024
Tag taxonomy project: Q1, Tagging process	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/87	VanCardui	Done	Archive, Community engagement, Development, Paid	480	March 2024
Bounty for meeting publicity	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/89	Asad272002	Done	Community engagement, Paid	60	March 2024
Bounty for general archives publicity	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/90	michealkizzy	Done	Community engagement, Paid	200	March 2024
Mentorship of bounty-holders	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/91	VanCardui	Done	Community engagement, Unpaid	175	March 2024
Archives outreach to wider sNET ecosystem	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/92	VanCardui	Done	Community engagement, Unpaid	200	March 2024
Archives GitBook - March 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/102	VanCardui	Done	Archive, Unpaid	100	March 2024
Town Hall session on meeting summary tips and tricks	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/106	VanCardui	Done	Community engagement, Paid	150	March 2024
Bounty to use Archives to create Town Hall updates	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/107	VanCardui	Done	Community engagement, Paid	150	March 2024
Bounty for chasing up missing meeting summaries - March 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/112	EseWilliams	Done	Archive, Paid	75	March 2024
Meeting 19 (Project Management) -  Wednesday, 6th March, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/113	stephen-rowan	Done	Meetings, Unpaid	200	March 2024
Tool Development - March 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/114	Andre-Diamond	Done	Development, Unpaid	300	March 2024
Ubio Tool Development - March 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/115	ubiodee	Done	Development, Paid	400	March 2024
GitHub Board Video Walkthrough	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/116	dukepeter	In Progress	Community engagement, Unpaid	100	March 2024
Backlog for Writers WG	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/117	VanCardui	Done	Archive, Unpaid	250	March 2024
Bounty for timestamping BGI Challenge Weekly Fireside chat	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/118	EseWilliams, michealkizzy	Done	Archive, Paid		March 2024
Meeting 20 (Project Management) - Wednesday, 20th March, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/120	stephen-rowan	Done	Meetings, Unpaid	200	March 2024
Tag taxonomy project: Part 1 of Planning and delivering training - Quarter 1 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/145	VanCardui	Done	Archive, Community engagement, Unpaid	75	March 2024
Tag taxonomy project: Attending tag taxonomy training	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/144		Done	Archive, Community engagement, Paid	120	March 2024
Distributing Rewards Q1	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/172	miroslavrajh	In Progress	Unpaid	90	March 2024
Preparing Distributions Q1	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/173	Andre-Diamond	In Progress	Unpaid	30	March 2024
