Title	URL	Assignees	Status	Labels	$ Amount 	Milestone
Archives GitBook - May 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/126	VanCardui	Done	Archive, Unpaid	100	May 2024
Open Source Strategy (To be split up)	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/139	stephen-rowan	Done	Development	0	May 2024
Meeting 23 (Project Management) -  Wednesday, 1st May, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/140	stephen-rowan	Done	Meetings	200	May 2024
Guidelines on how to make a document community-owned	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/148	VanCardui	Done	Archive	0	May 2024
Create Doc-001.md	https://github.com/SingularityNET-Archive/SingularityNET-Archive/pull/141	stephen-rowan	Done	Documents		May 2024
The SinguarityNet Archive Doc process	https://github.com/SingularityNET-Archive/SingularityNET-Archive/pull/142	stephen-rowan	Done	Documents		May 2024
LLM Development - May 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/157	stephen-rowan	Done	Development	100	May 2024
Tool Development - May 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/158	Andre-Diamond	Done	Development	400	May 2024
Meeting 24 (Project Management) - Wednesday, 15th May, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/160	stephen-rowan	Done	Meetings	200	May 2024
Meeting 25 (Project Management) -  Wednesday, 29th May, 2024	https://github.com/SingularityNET-Archive/SingularityNET-Archive/issues/162	stephen-rowan	Done	Meetings	200	May 2024
