meetingDate,workgroup,status
24 January 2024,Governance Workgroup,Missing
2 February 2024,Marketing Guild,Done
,Gamers Guild,Missing
,Gamers Guild,Missing
,Gamers Guild,Missing
,Gamers Guild,Missing
,Knowledge Base Workgroup,Done
,Gamers Guild,Done
,Video Workgroup,Done
,Dework PBL,Done
,Education Workgroup,Done
,Video Workgroup,Done
,Treasury Guild,Done
,Onboarding Workgroup,Done
,Education Workgroup,Done
,Knowledge Base Workgroup,Done
,Onboarding Workgroup,Done
,Onboarding Workgroup,Done
,Archival Workgroup,Done
